year,title,mechanism,primary_source,code,local_repo,transfer_decision
2022,"QueryDet: Cascaded Sparse Query for Accelerating High-Resolution Small Object Detection","Coarse low-resolution query followed by sparse high-resolution compute",https://openaccess.thecvf.com/content/CVPR2022/html/Yang_QueryDet_Cascaded_Sparse_Query_for_Accelerating_High-Resolution_Small_Object_Detection_CVPR_2022_paper.html,https://github.com/ChenhongyiYang/QueryDet-PyTorch,QueryDet-PyTorch,"Primary evidence for sparse P2 ROI search"
2021,"Lite-HRNet: A Lightweight High-Resolution Network","Persistent multi-resolution high-resolution representation",https://openaccess.thecvf.com/content/CVPR2021/papers/Yu_Lite-HRNet_A_Lightweight_High-Resolution_Network_CVPR_2021_paper.pdf,https://github.com/HRNet/Lite-HRNet,Lite-HRNet,"Backbone topology evidence"
2019,"Gated-SCNN: Gated Shape CNNs for Semantic Segmentation","Shape stream gated by semantic features",https://openaccess.thecvf.com/content_ICCV_2019/html/Takikawa_Gated-SCNN_Gated_Shape_CNNs_for_Semantic_Segmentation_ICCV_2019_paper.html,https://github.com/nv-tlabs/GSCNN,GSCNN,"Shape-semantic decoupling evidence; license caution"
2023,"PIDNet: A Real-time Semantic Segmentation Network Inspired by PID Controllers","Detail/context branches and boundary-guided fusion",https://openaccess.thecvf.com/content/CVPR2023/html/Xu_PIDNet_A_Real-Time_Semantic_Segmentation_Network_Inspired_by_PID_Controllers_CVPR_2023_paper.html,https://github.com/XuJiacong/PIDNet,PIDNet,"Selective fusion evidence"
2021,"Pixel Difference Networks for Efficient Edge Detection","Pixel-difference convolution for efficient edges",https://openaccess.thecvf.com/content/ICCV2021/html/Su_Pixel_Difference_Networks_for_Efficient_Edge_Detection_ICCV_2021_paper.html,https://github.com/zhuoinoulu/pidinet,PiDiNet,"PDC control only; not assumed beneficial"
2024,"Frequency-aware Feature Fusion for Dense Image Prediction","Adaptive low/high-pass filtering and offset alignment for fusion",https://arxiv.org/abs/2408.12879,https://github.com/Linwei-Chen/FreqFusion,FreqFusion,"Optional neck ablation only after backbone effect"
2024,"Revealing Hidden Context in Camouflage Instance Segmentation","Foreground/background complementary refinement",https://openaccess.thecvf.com/content/ACCV2024/html/Phung_Revealing_Hidden_Context_in_Camouflage_Instance_Segmentation_ACCV_2024_paper.html,https://github.com/underlmao/Mask2Camouflage,Mask2Camouflage,"ROI inner-vs-context-ring discrimination"
2023,"Camouflaged Instance Segmentation via Explicit De-Camouflaging","Pixel decoupling and instance-level camouflage suppression",https://openaccess.thecvf.com/content/CVPR2023/html/Luo_Camouflaged_Instance_Segmentation_via_Explicit_De-Camouflaging_CVPR_2023_paper.html,https://github.com/PJLallen/OSFormer,OSFormer,"Conceptual evidence; do not copy full heavy model"
2020,"PointRend: Image Segmentation as Rendering","Iterative uncertain-point refinement",https://openaccess.thecvf.com/content_CVPR_2020/html/Kirillov_PointRend_Image_Segmentation_As_Rendering_CVPR_2020_paper.html,https://github.com/facebookresearch/detectron2,,"Sparse ROI boundary refinement"
2021,"RefineMask: Towards High-Quality Instance Segmentation with Fine-Grained Features","Multi-stage fine-grained mask refinement",https://openaccess.thecvf.com/content/CVPR2021/html/Zhang_RefineMask_Towards_High-Quality_Instance_Segmentation_With_Fine-Grained_Features_CVPR_2021_paper.html,https://github.com/zhanggang001/RefineMask,RefineMask,"Boundary-refinement reference"
