排名,模型名称,实验标识,所属系列/分类,改进部位,改进方向/设计意图,参数量(M),计算量(GFLOPs),训练轮次,训练耗时,核心超参数,Box Precision,Box Recall,Box mAP50,Box mAP50-95,Mask Precision,Mask Recall,Mask mAP50,Mask mAP50-95,相对基线Mask mAP增益(%),有效性梯队判定
1,YOLOv9c-seg,001_2_yolov9c-seg_adamw,官方基准对照,完整架构,官方中型分割架构 (GELAN+可逆网络),27.836,159.07,300,2.0h,"ep:300, b:16, AdamW, lr:0.001, amp:1, Baseline策略",0.9027,0.7696,0.8437,0.7160,0.8852,0.7807,0.8373,0.6817,+6.10%,第一梯队 (强正收益/核心推荐)
2,G10 Hybrid (Baseline策略),10_yolo11n-seg-hybrid-lska-carafe-bifpn-p2b_baseline_adamw_train_300ep_b16,GPT测试组(G系列),全架构重构,分层 Hybrid 骨干 (浅层保留细粒度+深层Faster) + LSKA + CARAFE + BiFPN + P2 边界头,3.214,14.54,300,1.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8801,0.7712,0.8389,0.7079,0.8915,0.7675,0.8382,0.6768,+5.61%,第一梯队 (强正收益/核心推荐)
3,F14 SPPF-LSKA,F14_yolo11-seg-sppf-lska_300ep,空间金字塔池化,SPPF 感受野层,以大核分离卷积注意力 (LSKA) 替换传统 SPPF,3.120,10.58,300,0.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9551,0.7304,0.8347,0.7088,0.9473,0.7302,0.8287,0.6760,+5.52%,第一梯队 (强正收益/核心推荐)
4,F57 HCO,F57_yolo11-seg-hco_300ep,混合上下文算子,Backbone 末端,引入混合上下文聚合算子 (Hybrid Context Operator),3.424,10.80,256,1.4h,"ep:256, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9022,0.7564,0.8395,0.7076,0.9033,0.7570,0.8368,0.6737,+5.30%,第一梯队 (强正收益/核心推荐)
5,N02 MoCE+LSKA+CARAFE+P2B (Baseline策略),20260821_02_moce_lska_carafe_p2b_baseline_adamw_train_300ep_b16,新增探索组(N系列),Backbone/SPPF/Neck/Head,专家混合骨干 (MoCE) + LSKA + CARAFE + P2 边界头,3.167,14.43,300,2.0h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9069,0.7579,0.8320,0.7044,0.9083,0.7555,0.8264,0.6734,+5.26%,第一梯队 (强正收益/核心推荐)
6,F54 FarFormer-FLA,F54_yolo11-seg-farformer-fla_300ep,线性 Transformer,Neck/SPPF,引入快速线性注意力 (Fast Linear Attention) FarFormer,3.705,11.04,296,1.6h,"ep:296, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9378,0.7407,0.8265,0.7016,0.9401,0.7445,0.8291,0.6727,+5.19%,第一梯队 (强正收益/核心推荐)
7,G08 Faster+LSKA+CARAFE+BiFPN+P2B,08_yolo11n-seg-faster-lska-carafe-bifpn-p2b_baseline_adamw_train_300ep_b16,GPT测试组(G系列),Backbone/SPPF/Neck/Head,Faster 骨干 + LSKA + CARAFE + BiFPN + P2 边界头,3.199,14.53,300,2.4h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9282,0.7390,0.8289,0.6964,0.9255,0.7369,0.8264,0.6726,+5.18%,第一梯队 (强正收益/核心推荐)
8,F46 FarFormer,F46_yolo11-seg-farformer_300ep,远场 Transformer,Neck/SPPF,引入远场自注意力 Transformer 模块 (FarFormer),3.701,37.49,300,1.2h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9123,0.7536,0.8290,0.7123,0.9134,0.7545,0.8267,0.6723,+5.15%,第一梯队 (强正收益/核心推荐)
9,G01 LSKA+CARAFE+P2B,01_yolo11n-seg-lska-carafe-p2b_baseline_adamw_train_300ep_b16,GPT测试组(G系列),SPPF/Upsample/Head,LSKA 大核池化 + CARAFE 上采样 + P2 边界增强头,3.336,14.76,300,2.0h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9385,0.7455,0.8308,0.7113,0.9410,0.7455,0.8200,0.6721,+5.13%,第一梯队 (强正收益/核心推荐)
10,F64 C3k2-MoCE,F64_yolo11-seg-c3k2moce_300ep,特征提取块,Backbone/Neck C3k2,以专家混合上下文提取块 (Mixture of Context Experts) 替换 C3k2,2.674,10.03,285,1.7h,"ep:285, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9336,0.7274,0.8349,0.7024,0.9010,0.7436,0.8323,0.6718,+5.10%,第一梯队 (强正收益/核心推荐)
11,F17 CARAFE,F17_yolo11-seg-carafe_300ep,上采样算子,Neck Upsample,以内容感知特征重组 (CARAFE) 替换最近邻上采样,2.983,10.63,300,1.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9298,0.7436,0.8317,0.7143,0.9199,0.7464,0.8261,0.6717,+5.09%,第一梯队 (强正收益/核心推荐)
12,G07 WT+LSKA+BiFPN+P2B,07_yolo11n-seg-wt-lska-bifpn-p2b_baseline_adamw_train_300ep_b16,GPT测试组(G系列),Backbone/SPPF/Neck/Head,小波 WT 骨干 + LSKA + BiFPN + P2 边界头,3.082,14.29,300,1.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9092,0.7350,0.8311,0.7053,0.8622,0.7693,0.8292,0.6712,+5.04%,第一梯队 (强正收益/核心推荐)
13,F58 HyperACE,F58_yolo11-seg-hyperace_300ep,自适应上下文提取,Neck/融合层,引入超尺度自适应上下文提取器 (HyperACE),2.727,10.63,300,1.6h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9021,0.7617,0.8328,0.7115,0.8948,0.7712,0.8285,0.6708,+5.01%,第一梯队 (强正收益/核心推荐)
14,N05 Faster+FarFormer+CARAFE+P2B,20260821_05_faster_farformer_carafe_p2b_baseline_adamw_train_300ep_b16,新增探索组(N系列),Backbone/Transformer/Neck/Head,Faster 骨干 + FarFormer 全局注意力 + CARAFE + P2 边界头 (复跑),3.780,41.44,300,2.2h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9117,0.7474,0.8279,0.7022,0.9117,0.7502,0.8251,0.6708,+5.01%,第一梯队 (强正收益/核心推荐)
15,F65 HyperRes,F65_yolo11-seg-hyperres_300ep,超残差聚合,Neck/特征增强,引入超残差多尺度上下文聚合模块 (HyperRes),3.582,10.95,300,1.7h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9325,0.7417,0.8296,0.7094,0.9285,0.7417,0.8258,0.6707,+4.99%,第一梯队 (强正收益/核心推荐)
16,G04 Faster+RFB+CARAFE+P2B,04_yolo11n-seg-faster-rfb-carafe-p2b_baseline_adamw_train_300ep_b16,GPT测试组(G系列),Backbone/SPPF/Neck/Head,Faster 骨干 + RFB 感受野块 + CARAFE + P2 边界头,3.112,14.46,300,1.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9193,0.7445,0.8237,0.7015,0.9157,0.7417,0.8200,0.6706,+4.98%,第一梯队 (强正收益/核心推荐)
17,F15 RFB,F15_yolo11-seg-rfb_300ep,空间金字塔池化,SPPF 感受野层,以感受野块 (Receptive Field Block) 替换 SPPF,3.032,10.51,300,0.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9030,0.7626,0.8258,0.7074,0.9034,0.7668,0.8234,0.6702,+4.94%,第一梯队 (强正收益/核心推荐)
18,G02 Faster+LSKA+CARAFE+P2B,02_yolo11n-seg-faster-lska-carafe-p2b_baseline_adamw_train_300ep_b16,GPT测试组(G系列),Backbone/SPPF/Neck/Head,Faster 骨干 + LSKA + CARAFE + P2 边界头,3.199,14.53,300,2.0h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9494,0.7158,0.8259,0.7021,0.9471,0.7150,0.8215,0.6697,+4.90%,第一梯队 (强正收益/核心推荐)
