repo,commit,license_or_status,remote,local_path,decision
QueryDet-PyTorch,feebf218d53d,MIT,https://github.com/ChenhongyiYang/QueryDet-PyTorch.git,C:/Users/33836/Desktop/github/QueryDet-PyTorch,"Read and reimplement sparse-query topology; do not copy framework wholesale"
Lite-HRNet,7b9049d264fa,Apache-2.0,https://github.com/HRNet/Lite-HRNet.git,C:/Users/33836/Desktop/github/Lite-HRNet,"Evidence for narrow persistent high-resolution branch"
PIDNet,4c158cf24ce4,MIT,https://github.com/XuJiacong/PIDNet.git,C:/Users/33836/Desktop/github/PIDNet,"Evidence for gated detail-context fusion"
FreqFusion,3fb0c70637a3,No root license found,https://github.com/Linwei-Chen/FreqFusion.git,C:/Users/33836/Desktop/github/FreqFusion,"Read only until license clarified; optional neck ablation after backbone succeeds"
RefineMask,633ed2be1b36,Apache-2.0,https://github.com/zhanggang001/RefineMask.git,C:/Users/33836/Desktop/github/RefineMask,"Reference for staged fine-grained mask refinement"
MaskTransfiner,5b61fb53d8df,Apache-2.0,https://github.com/SysCV/transfiner.git,C:/Users/33836/Desktop/github/MaskTransfiner,"Reference for sparse error-point refinement; full model too heavy"
Mask2Camouflage,64cde06628c5,No root license found,https://github.com/underlmao/Mask2Camouflage.git,C:/Users/33836/Desktop/github/Mask2Camouflage,"Read mechanism; reimplement ROI foreground-context contrast only after license review"
OSFormer,17863338ffe1,No root license found,https://github.com/PJLallen/OSFormer.git,C:/Users/33836/Desktop/github/OSFormer,"Camouflage baseline/reference, not a lightweight final backbone"
GSCNN,edd16c5d3f34,CC-BY-NC-SA-4.0,https://github.com/nv-tlabs/GSCNN.git,C:/Users/33836/Desktop/github/GSCNN,"Research reference; non-commercial share-alike constraints"
PiDiNet,d21aa881ed9c,Research/non-commercial restriction,https://github.com/zhuoinoulu/pidinet.git,C:/Users/33836/Desktop/github/PiDiNet,"Conceptual PDC reference; avoid verbatim code reuse without permission"
NWD,9775ac2d2435,Apache-2.0,https://github.com/jwwangchn/NWD.git,C:/Users/33836/Desktop/github/NWD,"Use to audit assignment/NMS/loss differences; current code only regression blend"
RankSortLoss,b41f64df70b1,Apache-2.0,https://github.com/kemaloksuz/RankSortLoss.git,C:/Users/33836/Desktop/github/RankSortLoss,"Optional score-ranking ablation after recall improves"
VarifocalNet,f459696240b4,Apache-2.0,https://github.com/hyz-xmaster/VarifocalNet.git,C:/Users/33836/Desktop/github/VarifocalNet,"Optional quality-aware classification reference"
SparseInst,a89901534dd8,MIT,https://github.com/hustvl/SparseInst.git,C:/Users/33836/Desktop/github/SparseInst,"Cross-family real-time reference; not merged into YOLO"
FastInst,4996a613ef86,MIT,https://github.com/junjiehe96/FastInst.git,C:/Users/33836/Desktop/github/FastInst,"Cross-family reference only"
SOLO,f4cd03b9404e,Non-commercial,https://github.com/WXinlong/SOLO.git,C:/Users/33836/Desktop/github/SOLO,"Journal comparison baseline via mature framework"
maskscoring_rcnn,0e8fae677b8a,MIT,https://github.com/zjhuang22/maskscoring_rcnn.git,C:/Users/33836/Desktop/github/maskscoring_rcnn,"Reference for mask-quality calibration"
yolact,902073d41472,MIT,https://github.com/dbolya/yolact.git,C:/Users/33836/Desktop/github/yolact,"Prototype-mask foundation/reference"
SFM,b08e63ee49a5,MIT,https://github.com/Linwei-Chen/SFM.git,C:/Users/33836/Desktop/github/SFM,"Frequency/resampling reference; not stacked into final design without isolated evidence"
SCSegamba,cc74c4606f03,Apache-2.0,https://github.com/Karl1109/SCSegamba.git,C:/Users/33836/Desktop/github/SCSegamba,"Excluded from implementation because Mamba dependency is out of scope"
Plug-play-modules-main,,No Git history or root license,,C:/Users/33836/Desktop/github/Plug-play-modules-main,"Source-discovery only; never cite as an official implementation"

