Theme,Search_Query,Database_Venue,Title,Authors,Year,DOI_or_arXiv,Screening_Decision,Key_Contribution_or_Reason_for_Exclusion
Theme A,("lightweight instance segmentation" OR "real-time") AND RTMDet,arXiv cs.CV,RTMDet: An Empirical Study of Designing Real-Time Object Detectors,C. Lyu; W. Zhang; H. Huang; Y. Zhou; Y. Wang; Y. Chen et al.,2022,arXiv:2212.07784,Include,Large kernel depthwise convolutions (5x5) and dynamic soft label assignment; strong cross-family real-time baseline.
Theme A,("real-time instance segmentation" OR "query-based") AND FastInst,CVPR 2023,FastInst: A Simple Query-Based Model for Real-Time Instance Segmentation,J. He; P. Li; Y. Geng; X. Xie,2023,10.1109/CVPR52729.2023.00346,Include,Activation-guided queries with dual-path update; effective NMS-free query baseline for cluster separation.
Theme A,("sparse instance activation" OR "box-free") AND SparseInst,CVPR 2022,Sparse Instance Activation for Real-Time Instance Segmentation,T. Cheng; X. Wang; S. Chen; W. Zhang; Q. Zhang; C. Huang et al.,2022,10.1109/CVPR52688.2022.00435,Include,Instance activation maps with bipartite matching; box-free mask prediction preventing bounding-box suppression errors.
Theme A,("conditional convolutions" OR "dynamic head") AND CondInst,ECCV 2020,Conditional Convolutions for Instance Segmentation,Z. Tian; C. Shen; H. Chen,2020,10.1007/978-3-030-58580-8_17,Include,Dynamic instance-specific mask head conditioned on relative coordinates and routing weights.
Theme A,("YOLOv8" OR "real-time instance segmentation") AND Ultralytics,Zenodo / GitHub,YOLOv8: Real-Time Object Detection and Instance Segmentation,G. Jocher; A. Chaurasia; J. Qiu,2023,10.5281/zenodo.10014009,Include,C2f modular architecture and decouple segment head; fundamental baseline model in cross-family comparison.
Theme A,("YOLO11" OR "YOLO11-seg") AND Ultralytics,Ultralytics Docs,YOLO11: State-of-the-Art Real-Time Vision Framework,G. Jocher; J. Qiu; A. Chaurasia,2024,github.com/ultralytics/ultralytics,Include,C3k2 and C2PSA modules; primary ablation baseline model in this research project.
Theme A,("YOLO26" OR "YOLO26-seg") AND Ultralytics,Ultralytics Docs,YOLO26: Next-Generation Real-Time Detection and Segmentation,Ultralytics Team,2026,ultralytics.com/models/yolo26,Include,State-of-the-art YOLO architecture; cross-family comparison benchmark candidate.
Theme A,("Mask R-CNN" OR "two-stage instance segmentation") AND He,ICCV 2017,Mask R-CNN,K. He; G. Gkioxari; P. Dollar; R. Girshick,2017,10.1109/ICCV.2017.322,Include,Foundational two-stage instance segmentation framework with RoIAlign; mandatory academic benchmark.
Theme A,("YOLACT" OR "real-time instance segmentation") AND Bolya,ICCV 2019,YOLACT: Real-time Instance Segmentation,D. Bolya; C. Zhou; F. Xiao; Y. J. Lee,2019,10.1109/ICCV.2019.00925,Include,Prototype mask generation and linear coefficient prediction; foundation of YOLO-seg architecture.
Theme A,("YOLACT++" OR "deformable prototype") AND TPAMI,IEEE TPAMI 2020,YOLACT++: Better Real-time Instance Segmentation,D. Bolya; C. Zhou; F. Xiao; Y. J. Lee,2020,10.1109/TPAMI.2020.3014297,Exclude,Deformable convolution backbone and ResNet base exceed the strict 2.85M nano parameter budget.
Theme B,("tiny object detection" OR "NWD" OR "Wasserstein distance"),arXiv cs.CV,A Normalized Gaussian Wasserstein Distance for Tiny Object Detection,J. Wang; C. Xu; W. Yang; L. Yu,2021,arXiv:2110.13389,Include,Normalized Wasserstein distance modeling bounding boxes as 2D Gaussian distributions for scale invariance.
Theme B,("Dot Distance" OR "tiny object detection") AND DotD,CVPRW 2021,Dot Distance for Tiny Object Detection in Aerial Images,C. Xu; J. Wang; W. Yang; L. Yu,2021,10.1109/CVPRW53098.2021.00192,Exclude,Dot distance is tailored for oriented aerial bounding boxes; inapplicable to standard fruit polygon masks.
